Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-4A,IT 124,IT 124_LEC_IT-4A,Tuesday,15:00,16:00,LAB-010,TBA
IT-4A,IT 124,IT 124_LEC_IT-4A,Friday,15:00,16:00,LEC-004,TBA
IT-4A,IT 124,IT 124_LEC_IT-4A,Thursday,11:30,13:30,LAB-009,TBA
IT-4A,IT 125,IT 125_LEC_IT-4A,Thursday,10:00,11:00,LEC-009,TBA
IT-4A,IT 125,IT 125_LEC_IT-4A,Monday,11:00,12:00,LEC-005,TBA
IT-4A,IT 125,IT 125_LAB_IT-4A,Monday,13:00,16:00,LAB-001,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Friday,13:00,14:00,LEC-003,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Tuesday,09:00,10:00,LAB-010,TBA
IT-4A,IT 126,IT 126_LEC_IT-4A,Wednesday,14:00,15:00,LEC-007,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Tuesday,10:00,11:00,LAB-007,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Friday,10:30,11:30,LAB-002,TBA
IT-4A,IT 127,IT 127_LEC_IT-4A,Friday,09:30,10:30,LEC-009,TBA
IT-4A,ITELECT 003,ITELECT 003_LEC_IT-4A,Wednesday,13:00,14:00,LAB-002,TBA
IT-4A,ITELECT 003,ITELECT 003_LEC_IT-4A,Wednesday,15:00,16:00,LEC-010,TBA
IT-4A,ITELECT 003,ITELECT 003_LAB_IT-4A,Wednesday,09:00,12:00,LAB-005,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Tuesday,08:00,09:00,LEC-004,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Wednesday,16:00,17:00,LEC-009,TBA
IT-4A,ITELECT 004,ITELECT 004_LEC_IT-4A,Friday,08:00,09:00,LAB-004,TBA
