Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 100,Introduction to Computing,13:00-15:00,W,LAB-003,2,1,3,5,4.25,TBA,IT-1B
IT 101,Computer Programming 1,13:00-15:00,T,LAB-001,2,1,3,5,4.25,TBA,IT-1B
GEC 1,Understanding the Self,11:00-12:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-1B
GEC 1,Understanding the Self,16:00-17:00,F,LEC-009,3,0,3,3,3.0,TBA,IT-1B
GEC 1,Understanding the Self,13:00-14:00,F,LEC-001,3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,09:00-10:00,M,LEC-011,3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,09:00-10:00,F,LEC-005,3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,11:00-12:00,M,LEC-003,3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,08:00-09:00,F,LEC-002,3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,13:00-14:00,M,LEC-009,3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,15:00-16:00,W,LEC-004,3,0,3,3,3.0,TBA,IT-1B
PathFit 1,Movement of Competency Training,08:00-10:00,T,LEC-001,2,0,2,2,2.0,TBA,IT-1B
