Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 100,Introduction to Computing,09:00-11:00,F,LAB-003,2,1,3,5,4.25,TBA,IT-1A
IT 101,Computer Programming 1,14:00-16:00,F,LAB-003,2,1,3,5,4.25,TBA,IT-1A
GEC 1,Understanding the Self,08:00-09:00,W,LEC-010,3,0,3,3,3.0,TBA,IT-1A
GEC 1,Understanding the Self,14:00-15:00,W,LEC-007,3,0,3,3,3.0,TBA,IT-1A
GEC 1,Understanding the Self,15:00-16:00,M,LEC-011,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,16:00-17:00,W,LEC-001,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,08:00-09:00,M,LEC-005,3,0,3,3,3.0,TBA,IT-1A
GEC 2,Readings in Philippine History,09:00-10:00,M,LEC-008,3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,11:00-12:00,M,LEC-002,3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,10:00-11:00,W,LEC-002,3,0,3,3,3.0,TBA,IT-1A
GEC 3,Mathematics in the Modern World,13:00-14:00,F,LEC-002,3,0,3,3,3.0,TBA,IT-1A
PathFit 1,Movement of Competency Training,15:00-17:00,TH,LEC-007,2,0,2,2,2.0,TBA,IT-1A
